Districts,Nationalized Banks,Private Banks,Regional Rural Banks,Cooperative Banks,ATMs,Districts_encoded,Nationalized Banks_std,Private Banks_std,Regional Rural Banks_std,Cooperative Banks_std,ATMs_std,Nationalized Banks_log,Private Banks_log,ATMs_log,Nationalized Banks_Private Banks_ratio,Nationalized Banks_Regional Rural Banks_ratio,Nationalized Banks_Cooperative Banks_ratio,Nationalized Banks_ATMs_ratio,Private Banks_Regional Rural Banks_ratio
ADILABAD,18,6,1,9,58,0.0,-0.580786417276875,-0.4279074324776953,-1.3348172981561055,0.0680413817439771,-0.39230386070332346,2.9444389791664403,1.9459101490553132,4.07753744390572,3.0,18.0,2.0,0.3103448275862069,6.0
BHADRADRI,62,5,35,12,114,1.0,-0.30331087501219633,-0.44840995242639475,0.4551285444094609,0.7008262319629647,-0.1496820216648591,4.143134726391533,1.791759469228055,4.74493212836325,12.4,1.7714285714285714,5.166666666666667,0.543859649122807,0.14285714285714285
HYDERABAD,849,264,12,4,1108,2.0,4.659717574131033,4.861742714286766,-0.755717172620187,-0.9866000352876689,4.1568556212678835,6.745236349484363,5.579729825986222,7.011213987350367,3.215909090909091,70.75,212.25,0.766245487364621,22.0
JAGTIAL ,53,17,23,14,96,3.0,-0.36006723592997153,-0.20237971304200117,-0.17661704708426845,1.1226827987756232,-0.2276676127843655,3.9889840465642745,2.8903717578961645,4.574710978503383,3.1176470588235294,2.3043478260869565,3.7857142857142856,0.5520833333333334,0.7391304347826086
JANGAON ,22,6,16,3,33,4.0,-0.555561367980086,-0.4279074324776953,-0.5451353087889439,-1.197528318693998,-0.5006171817026379,3.1354942159291497,1.9459101490553132,3.5263605246161616,3.6666666666666665,1.375,7.333333333333333,0.6666666666666666,0.375
JAYASHANKAR ,29,1,24,3,23,5.0,-0.5114175317107054,-0.5304200322211926,-0.12397158112645768,-1.197528318693998,-0.5439425101023637,3.4011973816621555,0.6931471805599453,3.1780538303479458,29.0,1.2083333333333333,9.666666666666666,1.2608695652173914,0.041666666666666664
JOGULAMBA ,30,10,11,3,34,6.0,-0.5051112693865081,-0.34589735268289745,-0.8083626385779978,-1.197528318693998,-0.4962846488626653,3.4339872044851463,2.3978952727983707,3.5553480614894135,3.0,2.727272727272727,10.0,0.8823529411764706,0.9090909090909091
KAMAREDDY ,79,5,22,19,96,7.0,-0.19610441550084323,-0.44840995242639475,-0.22926251304207923,2.177324215807269,-0.2276676127843655,4.382026634673881,1.791759469228055,4.574710978503383,15.8,3.590909090909091,4.157894736842105,0.8229166666666666,0.22727272727272727
KARIMNAGAR ,315,68,91,11,176,8.0,1.2921734930097057,0.8432488043416715,3.4032746380468644,0.4898979485566355,0.1189350144134407,5.755742213586912,4.23410650459726,5.176149732573829,4.632352941176471,3.4615384615384617,28.636363636363637,1.7897727272727273,0.7472527472527473
KHAMMAM ,152,9,22,18,187,9.0,0.2642527341655554,-0.3663998726315969,-0.22926251304207923,1.96639593240094,0.16659287565313907,5.030437921392435,2.302585092994046,5.236441962829949,16.88888888888889,6.909090909090909,8.444444444444445,0.8128342245989305,0.4090909090909091
