licensetype,licensename,name_frim,license_validity,constitution_particulars,mfg_districtname,mfg_mandalname,mfg_villagename,licensetype_Sales License,licensetype_nan,licensename_Restricted (Gen.Store),licensename_Retail Sale,licensename_Schedule X Drugs License (Retail),licensename_Whole Sale,licensename_Whole Sale & Retail,licensename_nan,constitution_particulars_Limited Company,constitution_particulars_Others,constitution_particulars_Partnership,constitution_particulars_Private Ltd Company,constitution_particulars_Proprietary,constitution_particulars_Society,constitution_particulars_nan,mfg_districtname_encoded
Sales License,Retail Sale,NUTAN MEDICALS VETERINARY DIVISION,05/01/2023,Proprietary,HYDERABAD,Khairatabad,Himayathnagar,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3.0
Sales License,Whole Sale,TRANSCATH MEDICAL DEVICES PRIVATE LIMITED,09/01/2023,Private Ltd Company,HYDERABAD,Mehdipatnam,Lunger House,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3.0
Sales License,Whole Sale,OM SRIMATHA  DISTRIBUTORS,24/01/2023,Partnership,MEDCHAL - MALKAJGIRI,Uppal,Uppal Khalsa,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,16.0
Sales License,Retail Sale,AARADHYA MEDICAL AND GENERAL STORES,02/01/2023,Partnership,PEDDAPALLI,Ramagundam,Ramagundam,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,21.0
Sales License,Retail Sale,SRI LAXMI VENKATA SAI MEDICAL AND GENERAL STORES,22/01/2023,Partnership,PEDDAPALLI,Peddapalli,Turkalamaddikunta,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,21.0
Sales License,Retail Sale,VENKATESHWARA MEDICAL AND GENERAL STORS,02/01/2023,Partnership,PEDDAPALLI,Odela,Odela,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,21.0
Sales License,Retail Sale,PARAGATHI MEDICALS,31/12/2022,Proprietary,NAGARKURNOOL,Nagarkurnool,Nagarkurnool,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,17.0
Sales License,Whole Sale & Retail,SUCHETA MEDICAL AND GENERAL STORES,01/01/2023,Partnership,MAHABUBNAGAR,Mahabuanagar (U),Mahbubnagar  (M +OG),True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,13.0
Sales License,Whole Sale,ISHWARLAL AND COMPANY,31/12/2022,Proprietary,HYDERABAD,Koti,Inder Bagh,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3.0
Sales License,Retail Sale,SAI SAGAR MEDICAL AND GENERAL STORES,16/12/2022,Partnership,BHADRADRI,Bhadrachalam,Bhadrachalam,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1.0
Sales License,Retail Sale,M/s.J.Nagaiah Medical and General Stores,17/12/2022,Proprietary,MEDAK ,Shankarampet-A,Shankarampet (A) ,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,15.0
Sales License,Retail Sale,SANTOSH MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,NAGARKURNOOL,Pentlavelli,Pentlavelli,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,17.0
Sales License,Retail Sale,SRI LAXMI NARSHIMHA MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,MAHABUBNAGAR,Addakal,Addakal,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,13.0
Sales License,Whole Sale & Retail,SRI DATTA MEDICAL HALL,31/12/2022,Partnership,SANGAREDDY,Andole,Jogipet,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,24.0
Sales License,Whole Sale,APOLLO HOSPITALS ENTERPRISE LTD,31/12/2022,Limited Company,HYDERABAD,Ameerpet, Jubilee Hills,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,3.0
Sales License,Whole Sale,SRI SAI BALAJI MEDICAL AGENCY,26/12/2022,Proprietary,HYDERABAD,Secunderabad,Bhoiguda,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3.0
Sales License,Retail Sale,SRI BALAJI MEDICAL AND GENERAL STORES,17/06/2026,Proprietary,NIRMAL,Nirmal (Urban),Nirmal,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,19.0
Sales License,Retail Sale,GOPI MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,VIKARABAD,Tandur,Tandur (M),True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,27.0
Sales License,Retail Sale,KAILASH MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,RANGA REDDY,Serilingampally,Chandanagar,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,23.0
Sales License,Retail Sale,SRI VENKATESHWARA PHARMACY,05/01/2023,Proprietary,MAHABUBNAGAR,Mahabuanagar (U),Mahbubnagar  (M +OG),True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,13.0
Sales License,Retail Sale,SAI MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,BHADRADRI,Palvoncha,Palvancha,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1.0
Sales License,Retail Sale,SHEEMA MUSKAN MEDICAL AND GENERAL STORES,09/01/2023,Partnership,NIZAMABAD,Morthad,Mortad,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,20.0
Sales License,Retail Sale,VIJAYA MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,MAHABUBNAGAR,Krishna,Krishna (Hindupur),True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,13.0
Sales License,Retail Sale,SANDEEP RAJ MEDICAL AND GENERAL STORES,13/12/2022,Partnership,KHAMMAM,Khammam (Urban),Khanapuram (Haveli),True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,10.0
Sales License,Retail Sale,SIVA LAKSHMI MEDICAL HALL,31/12/2022,Proprietary,HYDERABAD,Marredpally,Balamrai,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3.0
Sales License,Whole Sale,JAGADAMBA MEDICALS PRIVATE LIMITED,31/12/2022,Private Ltd Company,HYDERABAD,Abids,Chirag Ali Lane,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3.0
Sales License,Retail Sale,GIRISH MEDICAL FANCY AND GENERAL STORES,31/12/2022,Proprietary,KHAMMAM,Khammam (Urban),Khammam,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,10.0
Sales License,Retail Sale,SHARADHA MEDICAL STORES,31/12/2022,Proprietary,RAJANNA(SIRISILLA),Sircilla,Sircilla,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,22.0
Sales License,Retail Sale,SAI KRUPA MEDICAL AND GENERAL  STORES,04/01/2023,Partnership,RANGA REDDY,Saroornagar,Kharmanghat,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,23.0
Sales License,Retail Sale,SAFE LIFE PHARMACY,02/01/2023,Partnership,KARIMNAGAR,Karimnagar,Karimnagar,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,9.0
Sales License,Retail Sale,SRINIVASA MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,HANUMAKONDA,Hanamkonda,Hanamkonda,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,2.0
Sales License,Whole Sale,SHIVA ENTERPRISES,05/01/2023,Partnership,HYDERABAD,Mehdipatnam,Lunger House,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,3.0
Sales License,Retail Sale,MANCHERIAL MEDICAL AND GENERAL STORES,30/12/2022,Proprietary,MANCHERIAL,Mancherial,Mancherial,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,14.0
Sales License,Whole Sale,SRM PHARMA,10/01/2023,Proprietary,HYDERABAD,Amberpet,Amberpet,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3.0
Sales License,Retail Sale,SRI PANDU RANGA MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,MAHABUBNAGAR,Maktal,MAKTHAL,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,13.0
Sales License,Retail Sale,SRI SRINIVASA MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,JAGITHYAL,Mallapur,Chittapur,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,4.0
Sales License,Retail Sale,BHAVANI PHARMA,06/11/2022,Partnership,HYDERABAD,Koti,Inder Bagh,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,3.0
Sales License,Retail Sale,SRINIVASA MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,MEDCHAL - MALKAJGIRI,Uppal,Nacharam,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,16.0
Sales License,Whole Sale,SRI ANJANI AGENCIES,31/12/2022,Proprietary,HYDERABAD,Abids,Tilak Road,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3.0
Sales License,Whole Sale & Retail,BAVANI MEDICAL HALL VETERNARY,28/12/2022,Partnership,MEDAK ,Medak,Medak,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,15.0
Sales License,Retail Sale,NEW NAGARJUNA MEDICAL AND GENERAL STORES,07/01/2023,Proprietary,YADADRI BHUVANAGIRI,Narayanpur,Puttapaka,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,30.0
Sales License,Retail Sale,NEW SRINIVASA MEDICAL AND GENERAL STORES,31/12/2022,Partnership,HYDERABAD,Mehdipatnam,Vijaynagar Colony,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,3.0
Sales License,Retail Sale,VASU MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,JAGITHYAL,Jagtial,Jagitial,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,4.0
Sales License,Retail Sale,Vamshi Medical and General Stores,31/12/2022,Proprietary,WARANGAL,Geesugonda,Gorrekunta,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,29.0
Sales License,Whole Sale,SRI OM AGENCIES,31/12/2022,Partnership,NIZAMABAD,Nizamabad South ,Nizamabad,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,20.0
Sales License,Retail Sale,SAI SHIVA MEDICAL AND GENERAL STORES,31/12/2022,Proprietary,HYDERABAD,Charminar,"Sha Ali Banda, Shamsheergunj",True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3.0
