District_Hospitals,Health_Sub_Centres_Mean_by_District_Hospitals,Health_Sub_Centres_Std_by_District_Hospitals,Primary_Health_Centres_Mean_by_District_Hospitals,Primary_Health_Centres_Std_by_District_Hospitals,Community_Health_Centres_Mean_by_District_Hospitals,Community_Health_Centres_Std_by_District_Hospitals,District_Hospitals_Normalized,Health_Sub_Centres_Mean_by_District_Hospitals_Normalized,Health_Sub_Centres_Std_by_District_Hospitals_Normalized,Primary_Health_Centres_Mean_by_District_Hospitals_Normalized,Primary_Health_Centres_Std_by_District_Hospitals_Normalized,Community_Health_Centres_Mean_by_District_Hospitals_Normalized,Community_Health_Centres_Std_by_District_Hospitals_Normalized,Beds_in_all_Hospitals,Beds_in_all_Hospitals_Normalized,Health_Sub_Centres_Normalized,Primary_Health_Centres_Normalized,Community_Health_Centres_Normalized,Area_Hospitals_Normalized,Teaching_Hospitals_Normalized,Ayurveda_Hospitals_incl_Dispensaries_Normalized,Homeopathic_Hospitals_incl_Dispensaries_Normalized,Unani_Hospitals_incl_Dispensaries_Normalized,Naturopathy_Hospitals_incl_Dispensaries_Normalized,Doctors_in_all_Hospitals_Normalized,Hospitals,Health_Sub_Centres,Primary_Health_Centres,Community_Health_Centres,Area_Hospitals,Teaching_Hospitals,Ayurveda_Hospitals_incl_Dispensaries,Homeopathic_Hospitals_incl_Dispensaries,Unani_Hospitals_incl_Dispensaries,Naturopathy_Hospitals_incl_Dispensaries,Doctors_in_all_Hospitals
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,485,-0.16773358074289701,-0.43234281332614183,-0.0024059412723032637,-0.4963904185419524,-1.224744871391589,0.2194518730537527,-1.6683441661870866,-1.0437720029871378,-1.0973621853670716,-0.5801774647494381,-0.17665029129066273,ADILABAD,132,22,2,0,1,1,1,1,0,48
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,556,-0.10052411210733972,1.6208256108099182,0.5196833148175198,1.6408461057358985,1.224744871391589,-0.3038564396128884,-0.16614215762858942,0.2635787886331157,-1.0973621853670716,0.9186143191866104,-0.06287282273579141,BHADRADRI,240,29,7,2,0,8,5,1,2,71
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,5798,4.861617220112257,-1.9341974939441857,4.6963973635361045,2.0682934105914685,2.449489742783178,4.929226687053522,-0.5953427315024458,1.2440918823483056,3.5414870527755484,0.16921842721858615,5.363817742685679,HYDERABAD,53,85,8,3,10,6,8,16,1,1168
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,162,-0.47348933242296753,-0.07113725722813126,-0.37532683847931975,-0.4963904185419524,0.0,-0.3038564396128884,-0.3807424445655176,-1.0437720029871378,0.13966427813762713,-0.5801774647494381,-0.19643767712629254,JAGTIAL ,151,17,2,1,0,7,1,5,0,44
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,278,-0.36368231324374717,-0.6224510007461473,-0.6736635562449329,-1.3512850282530928,0.0,-0.3038564396128884,1.550660137866836,-0.06325890927194769,-0.1695923377385475,0.16921842721858615,-0.19643767712629254,JANGAON ,122,13,0,1,0,16,4,4,1,44
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,332,-0.3125652525913515,0.46116566754788435,0.22134659705190662,0.35850419116918797,-1.224744871391589,-0.3038564396128884,0.26305841624526694,0.2635787886331157,-0.1695923377385475,-0.5801774647494381,-0.1618097519139404,JAYASHANKAR ,179,25,4,0,0,10,5,4,0,51
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,142,-0.49242157710904,-1.1737647442641634,-0.9720002740105461,-0.9238377233975226,0.0,-0.3038564396128884,0.4776587031821951,-0.7169343050820743,0.7581775098899765,-0.5801774647494381,-0.23601244879755212,JOGULAMBA ,93,9,1,1,0,11,2,7,0,36
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,470,-0.1819327642574514,0.8794036798718966,-0.22615847959651314,1.2133988008803283,1.224744871391589,-0.3038564396128884,-0.16614215762858942,-0.39009660717701106,0.13966427813762713,0.16921842721858615,-0.15686290545503295,KAMAREDDY ,201,19,6,2,0,8,3,5,1,52
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,982,0.3027326997060041,-0.24223462590613626,-0.449911017920723,-0.4963904185419524,-1.224744871391589,-0.3038564396128884,-0.16614215762858942,-0.7169343050820743,0.13966427813762713,-0.5801774647494381,0.07563887811361715,KARIMNAGAR ,142,16,2,0,0,8,2,5,0,99
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,594,-0.06455284720380201,1.3166525109379095,-0.0024059412723032637,0.35850419116918797,-1.224744871391589,0.2194518730537527,-0.3807424445655176,3.531955767683749,-0.7881055694908968,-0.5801774647494381,-0.15191605899612548,KHAMMAM ,224,22,4,0,1,7,15,2,0,53
