Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIZAMABAD,BODHAN,RUDRUR,VARNI,KOKKALDAS THANDA,6,WATER WORKS,7,7,4088,15.666
NIZAMABAD,BODHAN,RUDRUR,VARNI,MALLARAM,6,WATER WORKS,6,5,2939,23.001
NIZAMABAD,BODHAN,RUDRUR,VARNI,NEHURUNAGAR,6,WATER WORKS,4,2,2190,19.667
NIZAMABAD,BODHAN,RUDRUR,VARNI,POTTIGUTTA THANDA,6,WATER WORKS,3,3,2868,12.667
NIZAMABAD,BODHAN,RUDRUR,VARNI,PYADMALR,6,WATER WORKS,5,5,2499,29.0
NIZAMABAD,BODHAN,RUDRUR,VARNI,RAJPET,6,WATER WORKS,1,1,1749,5.0
NIZAMABAD,BODHAN,RUDRUR,VARNI,SANKORA,6,WATER WORKS,2,2,1412,25.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,SAMPALLY T,6,WATER WORKS,3,3,4365,15.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,SUDDAPALLY,6,WATER WORKS,10,10,5340,46.33
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,SUDDULAM,6,WATER WORKS,6,5,7854,27.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,WESLINAGAR T,6,WATER WORKS,3,3,1558,7.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,YANAMPALLY,6,WATER WORKS,16,13,12396,60.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,YANAMPALLY T,6,WATER WORKS,2,2,139,6.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,JAKRANPALLY, VIVEKNAGAR THANDA,6,WATER WORKS,3,3,892,11.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,JAKRANPALLY,ARGUL,6,WATER WORKS,10,2,1053,42.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,JAKRANPALLY,BRAHMANPALLY,6,WATER WORKS,17,16,9078,43.0
